@RELATION songs
@ATTRIBUTE year NUMERIC
@ATTRIBUTE popscore NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE tempo NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE key NUMERIC
@ATTRIBUTE timesig NUMERIC
@ATTRIBUTE mode NUMERIC

@DATA

1998,0.012241137878384755,212.21832000000001,159.702,0.0,5,1,1
1999,0.019569868122822215,286.24934000000002,119.428,0.0,9,4,1
1999,0.004948667281943603,198.05994999999999,76.986000000000004,0.0,4,3,1
1999,0.03321117700828978,218.61832000000001,200.06100000000001,0.0,9,4,1
1997,0.026742694511971622,263.94076999999999,111.492,0.0,0,1,1
1995,0.026049819047058973,227.36933999999999,121.98099999999999,0.0,2,4,1
1991,0.0230461030258521,124.94322,120.703,0.0,11,4,1
1991,0.004800658391765383,271.12443999999999,152.46100000000001,0.0,0,4,1
1992,0.010321916904020324,326.42567000000003,95.111000000000004,0.0,5,3,1
1992,0.016356605248128875,235.41506000000001,129.31800000000001,0.0,4,4,1
1997,0.004828333754533462,235.78076999999999,153.738,0.0,6,4,1
1997,0.017621065087733125,145.78892999999999,156.07400000000001,0.0,11,4,1
1999,2.009363547064796e-05,201.09016,79.530000000000001,0.0,4,5,1
1998,0.005116253244220502,125.41342,180.29599999999999,0.0,4,4,1
1998,0.025787781900683187,204.53832,110.666,0.0,10,4,1
1999,0.0048607839416487456,275.69587000000001,80.978999999999999,0.0,6,4,1
1998,0.03286033064433435,222.09261000000001,106.76900000000001,0.0,10,4,1
1998,0.0047978192844538884,269.79219999999998,76.498999999999995,0.0,2,5,1
1993,0.01732542636370898,43.519550000000002,35.930999999999997,0.0,10,4,1
1997,0.045798500301685106,267.20607999999999,150.84800000000001,0.0,0,3,1
1994,0.0245057485758368,793.62567000000001,127.923,0.0,11,4,1
1992,0.004798104864809397,189.33506,89.670000000000002,0.0,5,3,1
1996,0.021760537232675955,182.83056999999999,166.90600000000001,0.0,2,1,1
1996,0.03340351156204911,184.26730000000001,98.623000000000005,0.0,6,1,1
1993,0.027980438633546535,258.92525999999998,186.012,0.0,4,4,1
1995,0.004825143088662802,182.22975,225.66900000000001,0.0,0,1,1
1992,0.004803690909135461,252.96933999999999,94.777000000000001,0.0,11,4,1
1995,0.0048209280334972635,263.86239999999998,136.459,0.0,4,4,1
1990,0.00554603860125481,322.87302,72.936999999999998,0.0,5,5,1
1992,0.034280696642454304,267.36281000000002,92.012,0.0,1,1,1
1995,0.10353190375814551,249.99137999999999,128.702,0.0,11,4,1
1994,1.735229500385993e-06,232.30649,89.998000000000005,0.0,6,4,1
