@RELATION songs
@ATTRIBUTE year NUMERIC
@ATTRIBUTE popscore NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE tempo NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE key NUMERIC
@ATTRIBUTE timesig NUMERIC
@ATTRIBUTE mode NUMERIC

@DATA

1984,0.004799076133816106,191.68608,150.95500000000001,0.0,0,4,1
1985,0.004801710795255598,281.28608000000003,77.305999999999997,0.0,1,5,1
1983,0.028329962174506004,85.263220000000004,86.536000000000001,0.0,9,4,1
1989,0.004858782823289827,113.78892999999999,96.709000000000003,0.0,5,3,1
1980,0.04185296489443811,250.3571,125.783,0.0,7,4,1
1984,0.007449717070736654,194.01097999999999,139.685,0.0,2,4,1
1980,0.026423910418124006,219.19301999999999,176.15299999999999,0.0,4,4,1
1989,0.010320464809893678,248.78975,128.59800000000001,0.0,5,1,1
1987,0.004812676830311527,152.58077,80.738,0.0,2,3,1
1981,0.0048391615842372105,204.85178999999999,146.44499999999999,0.0,7,4,1
1989,0.012811172725031045,304.32607999999999,109.051,0.0,7,4,1
1989,0.005007696509156155,215.11790999999999,101.742,0.0,11,4,1
1982,0.02760623556973075,158.98077000000001,140.65899999999999,0.0,2,1,1
1983,0.2637349293768708,298.89260999999999,119.90300000000001,0.0,0,4,1
1989,0.004838112171152782,167.13097999999999,91.256,0.0,11,1,1
1980,0.020411738576927716,355.18648999999999,125.245,0.0,11,4,1
1987,0.006136913047067986,185.70403999999999,83.956999999999994,0.0,11,3,1
1986,0.01606092371083057,297.92608000000001,157.95599999999999,0.0,5,5,1
1986,0.02448746728904178,229.87710000000001,125.676,0.0,10,1,1
1985,0.004962121178377105,231.23545999999999,111.541,0.0,0,4,1
1980,0.006710797183799393,184.94649000000001,108.977,0.0,2,1,1
1984,0.3414125076589611,234.50076999999999,111.319,0.0,6,1,1
1987,0.3019231821521555,281.73016000000001,131.31899999999999,0.0,5,4,1
1985,0.005140061084285064,236.09424000000001,119.035,0.0,9,4,1
1981,0.029788399383355826,299.57179000000002,155.999,0.0,0,4,1
1982,0.16380243407243578,203.91138000000001,183.90700000000001,0.0,9,4,1
1989,0.031114145290118578,163.26485,114.13500000000001,0.0,4,1,1
1989,0.02463794900869727,168.85506000000001,197.21299999999999,0.0,1,1,1
1981,0.02826708200870405,248.00608,184.012,0.0,1,4,1
1988,0.005035053931864357,166.73913999999999,122.54600000000001,0.0,8,4,1
1980,0.004866511771217006,128.67873,135.066,0.0,10,4,1
1982,0.004800286368334053,193.12280999999999,132.08799999999999,0.0,6,4,1
1986,0.021783573541010934,241.26649,87.484999999999999,0.0,3,3,1
1982,0.09872840011566127,275.95710000000003,170.773,0.0,6,4,1
1987,0.023811014447888277,246.49098000000001,124.577,0.0,6,4,1
1987,0.004823803334963134,61.831380000000003,235.33699999999999,0.0,7,1,1
1987,0.049313861563528905,258.08933999999999,83.730000000000004,0.0,0,4,1
1989,0.004800916787426954,314.72280999999998,147.73599999999999,0.0,10,3,1
