@RELATION songs
@ATTRIBUTE year NUMERIC
@ATTRIBUTE popscore NUMERIC
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE tempo NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE key NUMERIC
@ATTRIBUTE timesig NUMERIC
@ATTRIBUTE mode NUMERIC

@DATA

2008,1.0,243.33016000000001,86.498999999999995,0.0,3,4,1
1987,0.7196024687856586,211.69587000000001,113.35899999999999,0.0,1,4,1
2002,0.7089650463877584,236.95627999999999,139.99000000000001,0.0,8,4,1
2007,0.7036632173590696,283.87220000000002,128.09200000000001,0.0,11,4,1
1993,0.7031700153050514,251.21914000000001,206.376,0.0,11,4,1
1993,0.7031700153050514,249.49506,206.02000000000001,0.0,10,1,1
2004,0.7008920219233381,211.66974999999999,90.069000000000003,0.0,1,4,1
1994,0.6320447206403933,246.38649000000001,84.084000000000003,0.0,10,4,1
1987,0.6090762738917994,445.17831999999999,134.18799999999999,0.0,6,7,1
1986,0.5927055084178391,269.58321999999998,121.94799999999999,0.0,5,4,1
1995,0.5612142053648772,242.59872999999999,100.339,0.0,7,4,1
1995,0.5612142053648772,248.92035999999999,100.342,0.0,9,4,1
2006,0.5603837644105328,249.39057,125.328,0.0,2,4,1
2002,0.5472781168257478,261.61586999999997,102.143,0.0,0,4,1
1997,0.5052202477925244,301.19137999999998,95.929000000000002,0.0,5,4,1
2004,0.49778761726826254,451.44770999999997,130.01300000000001,0.0,11,4,1
2007,0.44945255460635625,213.26321999999999,94.986999999999995,0.0,5,4,1
2003,0.44811513438086614,206.81098,85.331000000000003,0.0,0,3,1
1985,0.43407222261944006,285.09994999999998,116.512,0.0,1,4,1
1988,0.4211765885509532,204.19873000000001,155.84299999999999,0.0,7,4,1
1994,0.42094270020424424,329.27301999999997,116.473,0.0,8,4,1
2007,0.42041941706988584,208.16934000000001,128.077,0.0,5,4,1
2002,0.4183000047194352,177.52771000000001,114.998,0.0,10,4,1
1981,0.4093661028844199,242.20688999999999,130.37200000000001,0.0,5,4,1
2009,0.3877243088867822,230.63464999999999,135.91399999999999,0.0,9,4,1
1990,0.37784142399532566,281.33832000000001,127.84399999999999,0.0,10,4,1
1989,0.3699524717228353,182.28200000000001,133.792,0.0,7,1,1
2004,0.36718712632022954,377.25995,97.325000000000003,0.0,8,4,1
1993,0.3615230777597098,227.08199999999999,129.542,0.0,0,4,1
2000,0.3609238417255258,262.08607999999998,175.959,0.0,11,4,1
1993,0.35960518082938775,308.76688999999999,105.804,0.0,9,3,1
2001,0.35400136778773866,246.20363,99.831000000000003,0.0,2,4,1
1990,0.3488167944407867,236.51220000000001,111.755,0.0,0,4,1
2006,0.34860982665006496,425.19465000000002,121.982,0.0,11,4,1
1988,0.34637028179801543,207.62076999999999,127.59699999999999,0.0,4,4,1
1984,0.3414125076589611,234.50076999999999,111.319,0.0,6,1,1
1996,0.33431786422392196,225.09669,94.233999999999995,0.0,4,5,1
1995,0.3333009686777852,136.04526000000001,141.46899999999999,0.0,5,4,1
1989,0.32806761371018833,329.69098000000002,115.10599999999999,0.0,5,4,1
1985,0.3165560911205589,285.98811999999998,136.31999999999999,0.0,3,4,1
2006,0.3121197057534069,268.95627999999999,106.002,0.0,9,4,1
2008,0.3120002172740909,273.52771000000001,129.99100000000001,0.0,11,4,1
2009,0.3045298435687918,465.47546,131.999,0.0,1,5,1
1987,0.3019231821521555,281.73016000000001,131.31899999999999,0.0,5,4,1
1988,0.2990344836791219,402.36363,122.83799999999999,0.0,6,4,1
1999,0.29834101234065896,295.33994999999999,161.86799999999999,0.0,11,4,1
1993,0.2963794172110481,324.07465000000002,101.66,0.0,2,4,1
1995,0.2804418616460093,432.97913999999997,91.775000000000006,0.0,8,3,1
1993,0.27758610247933413,318.61506000000003,232.709,0.0,6,3,1
1993,0.27758610247933413,319.73831999999999,162.34299999999999,0.0,6,3,1
2002,0.2659709170212308,173.66158999999999,149.917,0.0,1,4,1
1983,0.2637349293768708,298.89260999999999,119.90300000000001,0.0,0,4,1
2001,0.2603816007308816,224.52199999999999,179.48599999999999,0.0,7,4,1
2003,0.2476653156709369,231.18322000000001,118.273,0.0,7,4,1
2005,0.24633737344083878,160.31301999999999,152.785,0.0,1,4,1
2008,0.2449640227850515,240.56118000000001,151.983,0.0,11,4,1
1981,0.24394467261181252,142.23627999999999,94.837999999999994,0.0,9,4,1
2001,0.234538766697759,211.56525999999999,104.79600000000001,0.0,6,4,1
2000,0.23424888315587894,289.30567000000002,174.69,0.0,7,4,1
2006,0.23399052002124615,269.76607999999999,130.065,0.0,11,4,1
2003,0.22780094886946692,255.99955,113.485,0.0,7,3,1
1982,0.22664904050430554,202.97098,95.700000000000003,0.0,9,4,1
2001,0.22332484575932673,174.91546,191.548,0.0,7,4,1
1982,0.22256884122452147,223.45097999999999,128.64599999999999,0.0,9,4,1
1993,0.2224193749088441,652.40770999999995,121.884,0.0,2,4,1
1983,0.216237278055686,313.70404000000002,85.206999999999994,0.0,9,5,1
1983,0.2157045275746676,318.01423999999997,86.692999999999998,0.0,7,5,1
1990,0.21415846508348285,195.91791000000001,91.486999999999995,0.0,3,4,1
2009,0.20725538543823624,397.60933999999997,131.95500000000001,0.0,5,4,1
1986,0.2051684949288688,235.41506000000001,116.19499999999999,0.0,8,4,1
2000,0.20004116848145417,292.25751000000002,174.65100000000001,0.0,1,4,1
2000,0.20004116848145417,291.10811999999999,174.73099999999999,0.0,4,4,1
1987,0.1996175177897735,335.33341999999999,76.096000000000004,0.0,2,1,1
1996,0.19821864891260427,250.69668999999999,109.154,0.0,1,1,1
2005,0.19665100062538868,247.64035999999999,81.530000000000001,0.0,7,4,1
2007,0.17664673890858051,368.92689000000001,131.99100000000001,0.0,5,5,1
2004,0.1722326052885896,266.94484999999997,128.40700000000001,0.0,10,4,1
2005,0.17110894501026663,217.62567000000001,164.02500000000001,0.0,0,4,1
2004,0.16996689048979297,227.73506,88.753,0.0,6,4,1
