Joni James,Wishing Ring,1953,0.022969710784610072
Jay & The Americans,Think Of The Good Times,1965,0.007950298708290685
Sarah McLachlan,World On Fire,2004,0.025991151498620916
The Rubettes,Juke Box Jive,1974,0.062074324956400306
Gene Chandler,Duke of Earl,1962,0.09047384336447464
Boyz II Men,End Of The Road,1992,0.24962939208386659
Don Cornell,Hold My Hand,1954,0.16536129999794422
Kim Wilde,Watching For Shapes,1981,0.00712551916398899
Moby,I Like To Score,2000,0.010783846141651518
Rik Rok & Shaggy,YOUR EYES,2004,0.009554962426112493
James Brown,Night Train,1962,0.019628984222547587
Gary Puckett & The Union Gap,Over You,1968,0.04286258145929914
Styx,Sing For The Day,1979,0.012844367875468592
Donovan,Jennifer Juniper,1968,0.03167662874592692
The Shirelles,Blue Holiday,1961,0.007018519871284718
Sky,Love Song,1999,0.027074530814815066
Craig David,7 Days,2000,0.08098998634415469
Neil Diamond,Sweet Caroline,1969,0.012319532241738736
Sippie Wallace,The Mail Train Blues,1926,0.015469018875494551
PJ Harvey,Rid Of Me,1993,0.07427937480705094
Jerry Butler,Moon River,1961,0.03269963965709162
Bill Justis,Raunchy,1957,0.062404091540292195
Ultravox,The Voice,1981,0.015315777445219746
The Kinks,Animal Farm,1968,0.004190664510341595
Jane Morgan,Fascination,1957,0.050179867647564644
Monica,Knock Knock,2003,0.01291747478472822
Alicia Keys,Empire State Of Mind (Part II) Broken Down,2009,0.023185875573188852
Jim Reeves,According To My Heart,1969,0.03462561068782031
Adamski,Killer,1990,0.07680808420886541
Sonny Boy Williamson,Something Going On Wrong,1939,0.013818419406555232
The Crystals,Uptown,1962,0.034573751736292145
Joe Cocker,Don't You Love Me Anymore,1986,0.005411072346199541
Bobby Rydell,Sway,1960,0.044897105019329184
Groove Coverage,Runaway,2004,0.008505245534710978
John Fogerty,Eye Of The Zombie,1986,0.0313174593547984
Sash!,Encore Une Fois,1997,0.06538582715227148
Jennifer Lopez,Waiting For Tonight,1999,0.08691478892825845
Sparks,Angst In My Pants,1982,0.0076443975260583955
Tommy Dorsey,Song Of India,1937,0.033986837760174866
Johnnie Ray,Cry,1951,0.21027826757334186
Phish,Billy Breathes,1996,0.047940400368368705
Len Barry,1-2-3,1965,0.06488972793598848
Tony Martin,The last time i saw paris,1941,0.025107206962171346
Guns N' Roses,Yesterdays,1992,0.03804813078253113
Barbecue Bob,Ease It To Me Blues,1930,0.015313072906917243
Corona,Rhythm Of The Night,1994,0.09600217806714041
50 Cent,Straight To The Bank,2007,0.0279061712591255
Fred Astaire,Never Gonna Dance,1936,0.016096155465108113
Christina Aguilera,Beautiful,2003,0.2458090531461057
Electric Light Orchestra,Sweet Talkin' Woman,1978,0.03835720765432278
Paula Abdul,Spellbound,1991,0.0814150002016665
Bob Dylan,Like A Rolling Stone,1965,0.15652448411770295
Faith No More,Be Aggressive,1992,0.017298817641522853
Heart,Even it Up,1980,0.012108337232469936
Talk Talk,It's My Life,1984,0.04780602667356293
Mickey & Sylvia,Love Is Strange,1957,0.06364678552136885
Jackie Wilson,By The Light Of The Silvery Moon,1957,0.00917665174153249
Sarah McLachlan,River,2006,0.016915675162145687
Smiley Lewis,My Baby Was Right,1951,0.010281513501201727
James Taylor,October Road,2002,0.01379179818649187
Buddy Holly,That'll Be The Day,1986,0.012170243759945545
Pat Boone,Speedy Gonzales,1962,0.26206126158842036
Washboard Sam,Lowland Blues,1937,0.012843929964468058
Johnny Tillotson,I Can't Help It (If I'm Still In Love With You),1962,0.013755597046919393
Sonny James,Young Love,1956,0.06533675933103272
Bing Crosby & The Andrews Sisters,Santa Claus Is Coming To Town,1947,0.012975272200196276
Graaf,Give It Up,1998,0.006903328847790095
Steve Miller Band,I Want To Make The World Turn Around,1986,0.010906951741261868
The Fortunes,Seasons In The Sun,1969,0.009190201460752754
Sonny James,Young Love,1956,0.06533675933103272
Bob Dylan,Tangled Up In Blue,1975,0.034989502212040724
Kiss,Hotter Than Hell,1974,0.004800212079285494
U2,Get On Your Boots,2009,0.05243520910031662
Kiss,Talk To Me,1980,0.009509601625853221
Lou Rawls,You'll Never Find Another Love Like Mine,1976,0.07474716316565821
The Alan Parsons Project,Children Of The Moon,1982,0.0076147135406126635
Benny Goodman,As Long As I Live,1941,0.018976075543678035
Original Love,Kiss,1993,0.015037642206515519
Adam & The Ants,Prince Charming,1981,0.06203169341287684
Rose Royce,Car Wash,1977,0.11754626121786749
Tommy Dorsey,Boogie Woogie,1938,0.046775826948629105
Orleans,Dance With Me,1975,0.04486274820404047
Rainbow,Long Live Rock 'N' Roll,1978,0.04552185453139686
New Order,Blue Monday,1983,0.08810066687735818
Avril Lavigne,Sk8er Boi,2002,0.16276493140298742
Fred Astaire,Nice Work If You Can Get It,1938,0.06859967735978455
Londonbeat,That's How I Feel About You,1992,0.008810900070878308
Elton John,Crocodile Rock,1973,0.18752492770458085
Little Willie John,Fever,1956,0.03443069694343782
Jefferson Starship,Al Garimasu (There Is Love),1975,0.005320837048872294
Cecil Taylor,Jumpin' Punkins,1961,0.019015807155046256
Usher,Confessions,2004,0.2582142469145344
Hank Snow,I'm Movin' On,1950,0.04051256207599504
Radiohead,Street Spirit (Fade Out),1996,0.045306409286319536
The Killers,Human,2008,0.10913394947569732
Tony Bennett,Cinnamon Sinner,1954,0.02707042264840408
Nana Mouskouri,Le Temps Des Cerises,1968,0.0073897494391277916
Billie Holiday,Forget If You Can,1938,0.014065794353669267
Katie Melua,call off the search,2004,0.05255506336359565
Yello,I Love You,1983,0.02444378193876804
Paul Young,Love Of The Common People,1984,0.06832111474577383
THE INK SPOTS,The Gypsy,1946,0.12370034040257508
Supertramp,Bloody Well Right,1974,0.01597629199958091
Helen Reddy,Keep On Singing,1974,0.016891979172591533
Novaspace,Paradise,2003,0.007578975001831511
Ne-Yo,Closer,2008,0.13004069778312796
Scooter,I'm Raving,1996,0.022834591793952433
Queen,Headlong,1991,0.02239589192571554
Amos Milburn,After Midnite,1946,0.011003846197294656
Tavares,Heaven Must Be Missing An Angel,1976,0.08455241049705588
Boston,Peace Of Mind,1977,0.024640914878866747
Ozzy Osbourne,Bark At The Moon,1983,0.05725175734348627
Dusty Springfield,Spooky,1970,0.004397828550720024
Bon Jovi,Runaway,1984,0.026475657444482322
Kool & The Gang,Celebration,1981,0.15567385468539519
The Rolling Stones,Not Fade Away,1964,0.023426785002254598
Jimmie Rodgers,The Wizard,1958,0.013126616436164664
Don McLean,Chain Lightning,1980,0.011139367870539272
Pearl Jam,Last Kiss,1999,0.10291322640022565
V V Brown,Shark In The Water,2010,0.02941619187102829
Marvin Gaye,You're The Man,1972,0.007662461429548172
The Shirelles,Everybody Loves a Lover,1962,0.013889949358252347
Charley Patton,Pony Blues,1929,0.06772602936510354
Adam Lambert,For Your Entertainment,2009,0.04941589319169066
The Who,Summertime Blues,1970,0.03094997494652477
Barry White,Let The Music Play,1976,0.03429176664299887
Stan Freberg,Heartbreak Hotel,1956,0.015226624525812643
